iter	RMSE
0	119773.0421
1	116868.8177
2	114178.3712
3	110819.7985
4	107642.2872
5	105293.6796
6	102296.6096
7	99772.11878
8	97445.9086
9	94979.83864
10	92688.59187
11	90516.47407
12	88393.05563
13	86819.19269
14	84720.98881
15	82784.65433
16	81060.52125
17	79306.61575
18	77933.6273
19	76655.51338
20	75077.02732
21	73515.70738
22	71904.1492
23	70605.90656
24	69258.81174
25	67926.33555
26	66840.73516
27	65727.49408
28	64556.71312
29	63539.57291
30	62624.91223
31	61813.96358
32	60909.76278
33	59799.98303
34	58933.52657
35	57974.96878
36	57214.86642
37	56276.47216
38	55479.2854
39	54586.29989
40	53884.69312
41	53240.42552
42	52458.8616
43	51795.54857
44	51019.42306
45	50364.47513
46	49709.49495
47	49112.02997
48	48537.48823
49	47985.87554
50	47466.99404
51	46905.58213
52	46318.06847
53	45868.70519
54	45387.80042
55	44960.33298
56	44464.58792
57	43950.25431
58	43505.06124
59	43059.70943
60	42748.83695
61	42301.23567
62	41841.97302
63	41535.73665
64	41180.58031
65	40772.49945
66	40407.25655
67	40002.31925
68	39648.7835
69	39289.08754
70	39000.65441
71	38637.6596
72	38311.79651
73	38000.18877
74	37681.57852
75	37331.85222
76	37035.60784
77	36749.70377
78	36458.52893
79	36139.24565
80	35878.08482
81	35566.95926
82	35232.6649
83	34953.1603
84	34662.8948
85	34378.98233
86	34089.72671
87	33867.0837
88	33611.407
89	33348.57726
90	33070.68207
91	32803.66502
92	32573.87127
93	32347.82278
94	32129.97114
95	31879.04161
96	31689.29273
97	31452.5293
98	31244.92554
99	31052.18249
