iter	Passed	Remaining
0	0	75
1	1	60
2	1	54
3	2	51
4	2	51
5	3	50
6	3	52
7	4	53
8	5	54
9	6	55
10	6	55
11	7	54
12	8	54
13	8	53
14	9	52
15	10	52
16	10	50
17	10	50
18	11	48
19	11	47
20	12	45
21	12	44
22	13	43
23	13	42
24	13	41
25	14	40
26	14	39
27	14	38
28	15	36
29	15	35
30	15	34
31	15	33
32	15	32
33	15	31
34	16	30
35	16	29
36	16	28
37	16	27
38	17	27
39	17	26
40	18	26
41	18	25
42	18	24
43	19	24
44	19	23
45	19	23
46	19	22
47	20	21
48	20	21
49	20	20
50	20	19
51	20	19
52	21	18
53	21	18
54	21	17
55	21	17
56	21	16
57	22	16
58	22	15
59	22	15
60	22	14
61	22	14
62	23	13
63	23	13
64	23	12
65	23	12
66	24	11
67	24	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	25	8
74	25	8
75	26	8
76	26	7
77	26	7
78	26	7
79	26	6
80	27	6
81	27	6
82	27	5
83	27	5
84	28	4
85	28	4
86	28	4
87	29	3
88	30	3
89	30	3
90	30	3
91	31	2
92	31	2
93	31	2
94	31	1
95	32	1
96	32	1
97	32	0
98	33	0
99	33	0
